id,timestamp,ocr_text
278,1775206331826,519T0201,0.893
284,1775206333138,3915TA,0.774
295,1775206338161,195AJ15,0.948
296,1775206338697,195AJ15,0.964
14,1775206689335,T454TNM,0.963
15,1775206689932,T454TNMP0E,0.740
17,1775206692211,0010,0.637
18,1775206694686,0011075,0.727
23,1775206696276,T61,0.560
23,1775206699153,J11A,0.496
14,1775206872696,T454TNM,0.963
15,1775206873258,T454TNMP0E,0.740
17,1775206875580,0010,0.637
18,1775206877845,0011075,0.727
23,1775206879349,T61,0.560
23,1775206882005,J11A,0.496
30,1775206885389,0011NR15,0.932
32,1775206885919,0011NR15,0.960
33,1775206886547,9580115,0.718
34,1775206887110,958AC1N5,0.649
41,1775206888520,958AC115,0.835
42,1775206889059,958AC115,0.926
49,1775206894960,718EXF,0.839
70,1775206901746,3A15,0.449
74,1775206903600,509A15,0.504
75,1775206903601,049115,0.947
85,1775206906155,089AR15,0.959
86,1775206906579,089AR15,0.937
87,1775206914771,075DR5,0.850
88,1775206915416,075,0.961
97,1775206917446,075AV5075AW15,0.947
98,1775206918618,075AVC0T5A5,0.852
100,1775206920204,075AV1,0.894
14,1775379499917,T454TNM,0.963
15,1775379500589,T454TNMP0E,0.740
17,1775379503297,0010,0.637
18,1775379505865,0011075,0.727
23,1775379507500,T61,0.560
23,1775379510197,J11A,0.496
30,1775379513268,0011NR15,0.932
32,1775379513700,0011NR15,0.960
33,1775379514301,9580115,0.718
34,1775379514870,958AC1N5,0.649
41,1775379516285,958AC115,0.835
42,1775379516794,958AC115,0.926
49,1775379523224,718EXF,0.839
70,1775379530006,3A15,0.449
74,1775379531819,509A15,0.504
75,1775379531819,049115,0.947
85,1775379534478,089AR15,0.959
86,1775379534964,089AR15,0.937
87,1775379543126,075DR5,0.850
88,1775379543791,075,0.961
97,1775379545943,075AV5075AW15,0.947
98,1775379547229,075AVC0T5A5,0.852
100,1775379548841,075AV1,0.894
102,1775379554649,T8,0.486
103,1775379556382,6236EA15,0.797
114,1775379558640,CM,0.315
123,1775379561527,KA2P05T,0.995
127,1775379636826,FMTEYAX81,0.573
134,1775379642093,RT154298T63095R,0.484
142,1775379644964,951AEY15,0.904
143,1775379645397,951AEY15,0.903
152,1775379650498,348A8V15,0.952
153,1775379651067,348A8VL15,0.898
165,1775379676499,541AEX115,0.912
166,1775379676973,541AEX15,0.920
180,1775379679905,198AFW15,0.877
187,1775379681189,024ACN15,0.864
188,1775379681652,024ACN15,0.912
208,1775379687386,202AF015,0.948
210,1775379687944,202AF015,0.939
216,1775379690457,65PM5A,0.588
218,1775379694262,2240A1,0.709
232,1775379696120,064AFW15,0.856
233,1775379696582,064AFW15,0.898
237,1775379697444,224EFA15,0.963
238,1775379697914,224EFA15,0.974
239,1775379698410,224EFA15,0.969
241,1775379701412,H0LNT,0.510
249,1775379704000,4797M1YR4X8,0.523
253,1775379707073,990A9315,0.841
255,1775379708244,51910201,0.800
260,1775379710916,39MDTA5,0.644
262,1775379711368,3910TA15,0.827
276,1775379712784,519T0201,0.860
277,1775379713301,519T0201,0.861
278,1775379713755,519T0201,0.893
284,1775379715216,3915TA,0.774
295,1775379719685,195AJ15,0.948
296,1775379720210,195AJ15,0.964
297,1775379729861,XT,0.495
298,1775379731948,725A9C1,0.753
309,1775379733951,W72310015,0.613
310,1775379734669,MTANA,0.367
311,1775379738057,1641A00,0.654
312,1775379738297,1641AD015,0.693
313,1775379738596,641A0015,0.845
323,1775379740278,51410015,0.749
325,1775379741085,20E,0.521
328,1775379745231,TTTRXXTM,0.668
